prescription_name,Acute Kidney Failure,Chronic Kidney Disease,Diabetes,Heart Attack,Asthma,Liver Disease,Hypertension,Pneumonia
Azathioprine,160,96,238,21,28,79,137,53
Xopenex,160,66,145,81,108,8,220,118
ValGANCIclovir Suspension,160,61,147,6,22,268,68,18
CeftAZIDime,157,56,138,28,13,31,126,63
Nitroglycerin Oint. 2%,156,13,166,129,27,12,224,72
Bupivacaine 0.1%,154,123,346,11,188,67,736,138
Acetaminophen w/Codeine,154,112,292,109,64,20,369,76
Lansoprazole Oral Solution,154,11,67,98,14,29,87,68
Multivitamins W/minerals,153,84,177,39,29,69,208,66
Mupirocin Cream 2%,153,60,142,31,10,31,103,43
Oxacillin,153,21,145,69,25,29,127,50
sevelamer HYDROCHLORIDE,150,341,267,44,26,65,26,55
Pregabalin,150,106,297,22,76,43,193,91
Lidocaine 2%,150,65,113,23,26,50,123,72
Timolol Maleate 0.5%,149,124,226,74,16,16,301,64
TB Syringe,148,166,465,36,61,6,46,31
Insulin Regular Human (U-500),148,164,464,36,61,6,45,30
Heparin CRRT,148,98,81,34,11,21,19,39
Famotidine (IV),148,6,137,105,22,42,211,79
Ferric Gluconate,147,161,224,28,20,18,36,40
Gammagard Liquid,147,63,58,8,31,37,69,45
BuPROPion,144,93,203,43,53,46,266,70
EPINEPHrine,144,77,149,69,49,14,168,21
Dobutamine,144,19,80,156,10,5,74,40
Aripiprazole,142,65,225,21,90,20,172,51
Dorzolamide 2%/Timolol 0.5% Ophth.,140,148,362,98,15,10,261,56
Ferrous Sulfate (Liquid),140,66,129,23,18,16,129,48
Oxycodone-Acetaminophen Elixir,140,12,165,45,35,21,276,99
Verapamil,139,103,181,24,93,26,247,75
Verapamil SR,138,67,228,49,92,11,436,79
Oxazepam,136,63,229,160,59,20,415,43
Methotrexate Sodium,136,9,10,0,3,2,69,19
Lacri-Lube Oint,135,2,31,42,5,14,68,36
Psyllium,133,65,179,51,33,16,185,41
Oseltamivir,132,67,93,27,63,15,101,95
Tigecycline,132,61,96,5,10,26,89,23
OLANZapine (Disintegrating Tablet),131,93,110,28,35,16,106,45
Venlafaxine,131,73,195,43,50,41,218,52
Amoxicillin,130,82,160,58,28,68,173,31
Clonidine TTS 1 Patch,130,49,226,33,38,17,189,63
Hydrocerin,129,62,99,16,22,14,102,36
Ibuprofen Suspension,129,30,139,28,29,22,194,64
Amitriptyline,128,73,262,26,68,47,229,37
Salmeterol Xinafoate Diskus (50 mcg),128,34,147,45,168,12,216,79
Nystatin,127,39,89,25,15,28,85,50
Glyburide,127,2,633,168,20,18,449,64
Meropenem Desensitization,126,19,93,7,26,8,74,37
Divalproex Sodium,125,46,152,54,54,24,169,72
Fondaparinux Sodium,125,37,117,20,16,28,157,42
Pamidronate,124,63,150,11,17,115,96,45
Gemfibrozil,123,121,349,92,39,6,323,37
Megestrol Acetate,123,62,86,22,15,21,112,58
Codeine Sulfate,122,83,123,33,34,26,151,94
Racepinephrine,122,62,148,45,63,10,221,57
Caphosol,122,23,33,7,11,11,79,47
Fish Oil (Omega 3),121,98,215,64,48,21,274,39
Terazosin,120,127,155,46,12,12,197,56
Tolterodine,120,55,154,41,36,12,275,58
Chlorothiazide,120,44,107,25,9,8,60,34
Clotrimazole Cream,119,48,122,39,28,23,105,56
Rituximab,119,25,50,14,12,13,61,47
Aluminum-Magnesium Hydroxide,119,16,192,165,34,19,299,44
Ferrous Gluconate,117,94,238,83,34,13,338,30
Thrombin,117,52,71,22,11,78,42,41
Albumin 5%,117,44,48,11,16,71,79,31
Aquaphor Ointment,116,47,56,16,9,30,67,37
Albumin 5% ,115,53,51,8,23,95,73,34
Pentoxifylline,115,45,61,15,12,212,54,39
Oxcarbazepine,114,95,151,47,56,4,204,54
HYDROmorphone P.F.,114,70,211,16,132,25,440,76
Carbamazepine,114,48,120,26,66,19,179,30
Bivalirudin,114,32,24,64,0,77,43,10
Lamivudine,113,35,63,21,20,67,46,31
Papain 2.5 % Solution,113,32,76,16,15,56,86,48
NS Epidural Bag ,113,26,176,47,91,22,389,84
Sodium Chloride 23.4%,113,9,28,22,1,16,1,12
Propoxyphene Nap.-Apap (N-100),112,53,186,63,42,11,231,48
Ascorbic Acid (Liquid),112,33,88,20,12,16,79,34
Phenazopyridine HCl,112,29,93,45,20,15,133,28
Fluticasone-Salmeterol Diskus (500/50) ,111,75,110,24,137,18,148,60
ChlorproMAZINE,111,54,129,15,65,27,169,63
Fentanyl PCA,111,16,34,4,11,4,128,39
Multivitamin 12,111,2,35,47,15,47,53,46
Leucovorin Calcium,110,29,47,3,15,2,103,30
Heparin Flush Port (10units/ml),109,44,130,24,10,9,139,52
Desitin,108,30,60,40,6,23,62,30
NS (Irrigation Bottle),108,30,49,6,18,29,79,18
Chloraseptic Throat Spray,107,52,105,13,39,45,190,48
Amlodipine Besylate,107,11,186,79,15,16,166,35
Alteplase 1mg/1mL ( Clearance ie. Temp TLCL ),105,52,61,25,8,12,97,32
Opium Tincture,105,30,61,23,4,24,64,28
AcetaZOLAMIDE Sodium,104,36,174,38,12,22,216,68
Cytarabine,104,6,26,5,7,3,76,52
PrednisoLONE Acetate 1% Ophth. Susp.,103,70,143,40,19,25,152,59
Silver Sulfadiazine 1% Cream,103,59,127,33,16,8,85,28
Benztropine Mesylate,103,42,114,10,48,18,131,59
LaMOTrigine,102,113,190,24,85,43,236,68
Nitroglycerin Patch,102,67,123,54,6,3,121,36
Nortriptyline,102,58,231,26,52,41,200,52
Epinephrine 1:1000,102,56,104,37,64,22,172,42
Oseltamivir Phosphate,102,40,71,16,27,13,80,36
Metformin,102,23,878,141,58,23,597,70
Drotrecogin Alfa (Xigris),102,9,37,18,8,5,31,14
Amitriptyline HCl,101,52,212,46,50,24,184,44
Propranolol HCl,101,30,119,20,13,184,138,24
Bicitra,100,69,64,17,6,26,28,35
OxycodONE (Immediate Release) ,100,65,127,23,15,42,108,15
Epidural Bag,99,58,205,7,123,30,419,91
Ketamine,99,34,76,5,46,11,164,46
Amphotericin B,99,29,81,7,4,45,42,15
Mesna,97,10,9,3,4,1,39,16
Psyllium Wafer,95,48,94,24,12,22,126,21
Clonidine Patch 0.1 mg/24 hr,94,80,100,10,26,13,121,21
Terazosin HCl,94,65,126,37,14,10,173,37
"Albumin, Human",94,41,60,9,7,73,53,27
Collagenase Ointment,93,73,145,28,16,10,52,18
Acetaminophen-Caff-Butalbital,93,64,154,15,90,23,395,47
BusPIRone,93,35,131,27,44,21,179,49
Glipizide,93,17,336,92,20,19,174,36
Nifedipine CR,93,8,172,41,17,3,121,26
Phenytoin Sodium Extended,92,78,162,17,49,17,308,41
Clarithromycin,92,50,84,34,16,33,117,25
Etoposide,92,13,18,2,8,5,69,43
Lanthanum,91,249,245,40,27,23,23,30
Cyclobenzaprine,91,58,125,13,59,36,179,45
Pentamidine-Inhalation,91,41,59,5,10,26,41,30
Methylprednisolone Sodium Succ,91,10,107,56,37,129,107,61
Oxycodone-Acetaminophen (5mg-325mg),90,105,271,90,77,17,398,26
Propranolol,90,50,81,13,13,86,124,45
Divalproex (DELayed Release),89,75,102,10,32,13,164,49
Triamcinolone Acetonide 0.1% Cream,89,31,57,19,14,26,66,21
RiTONAvir,88,54,63,9,27,45,63,45
Ipratropium Bromide,88,13,66,62,46,21,86,64
Sildenafil,87,61,77,3,35,33,47,28
Abacavir Sulfate,86,50,48,9,26,47,45,33
Quinapril,86,33,193,69,19,9,361,25
D5W (GLASS BOTTLE),86,0,39,37,0,17,43,30
Tenofovir Disoproxil (Viread),85,65,53,3,21,65,52,44
Namenda,85,57,68,28,5,6,112,32
Fluticasone-Salmeterol (100/50),85,42,111,41,116,19,167,44
Clonidine Patch 0.3 mg/24 hr,84,134,165,11,16,10,101,19
GlipiZIDE XL,84,79,286,29,12,14,177,18
Potassium Chl 40 mEq / 1000 mL D5NS,84,14,126,8,24,23,150,27
Phenazopyridine,83,40,64,19,19,16,90,23
Rosiglitazone Maleate,83,22,369,59,28,5,254,28
Hydromorphone P.F.,83,13,127,36,72,7,290,64
Procainamide HCl,83,3,31,17,3,9,107,31
Heparin (IABP),82,38,69,139,11,3,100,17
Calcium Carbonate Suspension,82,33,61,27,9,20,76,33
Fleet Phospho-Soda,82,24,71,41,12,19,127,50
Lepirudin,82,21,72,38,4,41,72,49
Nystatin Oral Susp.,82,5,43,45,7,24,56,40
Travasol 4.25% W/ Dextrose 5%,82,2,19,22,6,21,21,28
Lidocaine 5% Ointment,81,46,71,22,18,19,85,29
Nystatin Ointment,81,15,69,36,10,18,83,29
Phenytoin Infatab,80,62,78,22,15,16,158,32
Clonidine Patch 0.2 mg/24 hr,79,71,126,9,23,21,86,8
Aspirin Desensitization (Angioedema),78,77,189,112,113,0,348,0
Ampicillin,78,35,86,30,25,27,119,32
Emtricitabine-Tenofovir (Truvada),78,28,42,16,33,55,57,50
Guaifenesin-Codeine Phosphate,78,18,64,64,30,16,85,72
Nifedipine,78,0,43,28,1,4,51,19
Hydroxychloroquine Sulfate,77,71,76,21,27,9,116,21
Transplant Self Medication Program,77,65,77,4,9,124,24,12
Ropinirole,77,54,82,19,49,18,78,22
Pyridoxine,77,54,53,5,16,33,67,20
Levalbuterol Neb,77,42,49,25,27,9,73,41
Acetazolamide,77,0,51,21,9,8,52,44
OLANZapine,76,38,54,5,33,26,80,18
Mirapex,75,52,100,22,7,19,135,25
Mucinex,75,47,103,27,49,2,138,62
Quinine Sulfate,74,39,100,25,14,20,82,19
Syringe (NS),74,38,65,5,37,5,94,39
Dapsone,74,31,23,4,14,29,44,29
Colistin,74,29,50,5,16,9,28,12
Acetylcysteine,74,8,73,67,3,4,59,22
Mexiletine,73,102,69,12,16,2,54,29
Fluticasone-Salmeterol Diskus (100/50),73,57,104,18,116,32,159,31
Dipyridamole-Aspirin,73,52,146,34,21,0,157,20
Lidocaine 0.5%,73,39,65,17,23,46,80,35
MethylPHENIDATE (Ritalin),73,32,47,11,3,12,66,43
Phenaseptic Throat Spray,73,30,102,27,32,22,141,34
Hydroxyzine HCl,73,8,102,27,27,27,88,41
Timolol Maleate 0.25%,72,44,129,44,10,6,142,42
ValGANCIclovir ,72,43,40,2,5,112,24,29
Methimazole,72,36,156,32,46,4,149,21
Tenofovir Disoproxil Fum.,72,19,42,18,17,42,26,30
Tizanidine,71,27,91,12,56,29,168,36
Sotalol,70,62,117,33,46,11,239,52
Hydrocortisone Cream 1%,70,39,56,24,11,20,69,35
Methylphenidate,70,35,56,3,9,17,70,29
Fleet Enema,70,33,65,9,27,17,92,32
NS Epidural Bag (0.9% NaCl),70,26,111,15,86,9,241,52
Dextromethorphan-Guaifenesin (Sugar Free),69,53,126,30,28,8,69,55
Trisodium Citrate 0.4% Replacement Soln,69,48,48,18,3,7,19,17
Pancrelipase 5000,69,27,58,6,14,38,37,14
Syringe (Intrapleural),69,21,33,8,14,5,52,19
Heparin Flush Midline (100 units/ml),68,47,77,26,11,10,76,34
HydrOXYzine HCl,68,36,95,7,13,38,85,17
Minoxidil,67,124,211,18,25,0,34,13
Tucks Hemorrhoidal Oint 1%,67,51,66,16,17,36,72,25
Sotalol HCl,67,20,75,37,17,2,119,23
Dexamethasone Sod Phosphate,67,18,33,4,25,6,66,43
0.45 % Sodium Chloride,67,13,25,6,7,26,40,2
Zonisamide,67,10,47,4,31,31,87,40
Gelclair,67,10,12,2,4,12,51,25
Foscarnet Sodium,67,0,9,0,0,0,44,15
Mineral Oil,66,20,59,7,13,7,88,26
Olanzapine (Disintergrating Tablet),66,6,36,25,0,8,24,33
Miralax,65,44,80,13,9,15,64,26
Thiamine Study Drug (*IND*),65,27,32,15,8,8,44,26
Indomethacin,65,25,73,33,12,11,161,27
Tricor,64,65,199,53,19,11,172,12
Sodium Citrate 4%,64,53,33,9,3,21,22,8
Papain-Urea Ointment,64,44,74,12,2,8,36,15
Mannitol 20 %,64,34,110,22,54,25,372,69
Flumazenil,64,34,62,9,13,23,75,30
Dronabinol,64,28,53,8,11,24,66,13
Pyridostigmine Bromide,64,26,165,36,37,2,252,47
Lidocaine 1%/Epinephrine 1:100000,64,26,49,25,6,17,57,16
Divalproex Sod. Sprinkles,64,21,89,21,11,3,76,36
Ethacrynic Acid,64,18,25,7,20,34,53,15
Methylene Blue 1%,64,9,46,5,18,20,82,25
Rocuronium,63,41,57,12,17,14,50,24
Dofetilide,63,38,69,25,21,9,130,17
Qvar,63,31,51,19,41,4,84,28
Glycerin Supps,63,23,55,17,18,13,107,32
Potassium Chl 20 mEq / 1000 mL D5W,63,22,32,5,2,5,55,15
300 mcg Vial,63,20,15,2,15,8,47,22
Lopinavir-Ritonavir,63,18,31,15,10,33,32,15
Felodipine,62,55,73,30,14,7,100,18
Clobetasol Propionate 0.05% Cream,62,36,37,6,20,43,47,13
Benzocaine 20% Spray,62,35,41,17,15,25,62,23
Lacosamide,62,27,56,1,22,12,170,32
Phenobarbital,62,12,89,13,6,1,100,69
Ciprofloxacin 0.3% Ophth Soln,60,37,81,17,21,19,93,27
Meclizine,60,34,82,28,14,4,126,28
Pyridoxine HCl,60,26,67,22,12,11,77,21
Aspirin (Buffered),60,25,85,75,16,7,112,32
HYDROmorphone-HP,60,23,32,7,12,32,63,20
Doxercalciferol,59,365,374,23,29,21,8,42
Dorzolamide 2% Ophth. Soln.,59,54,127,48,19,5,122,35
Tizanidine HCl,59,26,56,7,26,8,81,33
Naproxen,59,19,81,15,36,8,120,38
Methylphenidate HCl,59,19,64,13,10,2,60,27
NS Syringe (Intrapleural),59,15,46,3,16,11,51,31
Cyclobenzaprine HCl,59,11,61,17,19,11,101,21
Hurricaine Spray,59,4,70,25,7,16,64,27
Yellow CADD Cassette,58,55,149,4,65,37,327,52
Solution,58,12,18,4,6,6,37,20
Glutamine,57,4,10,3,0,2,23,5
Mesalamine,56,39,46,11,9,35,55,34
Heparin (Preservative Free),56,6,12,0,1,0,80,90
Creon 12,55,41,102,6,12,26,55,12
Doxepin HCl,55,36,95,22,17,23,89,17
Phenytoin Sodium (IV),55,32,66,18,22,12,149,29
Atazanavir,55,32,49,11,19,33,48,35
Niacin SR,54,52,125,48,16,4,140,15
Ramipril,54,45,149,34,24,0,167,26
Eplerenone,54,41,46,20,11,15,29,17
Clonidine TTS 2 Patch,54,38,114,22,8,3,75,24
Lithium Carbonate,54,28,75,17,28,12,87,10
Dextrose 20% in Water (D20W),54,25,44,12,2,13,23,3
Amino Acids 5%-Dextrose 15%,54,15,21,7,12,18,47,16
Hydrocortisone Na Succinate,54,1,9,1,3,2,38,26
Pioglitazone HCl,53,26,252,51,21,9,168,27
Dakins 1/4 Strength,53,16,49,7,6,2,26,2
Nimodipine,53,14,108,20,62,16,508,75
Topiramate,53,9,71,6,21,0,52,27
Temazepam,52,62,71,45,16,13,103,28
Hydrocortisone (Rectal) 2.5% Cream,52,34,52,13,13,34,63,28
DOXOrubicin,52,9,17,8,7,5,24,19
Fomepizole,52,3,15,0,7,5,24,0
Raltegravir,51,38,18,3,7,25,18,25
Bismuth Subsalicylate,51,30,54,11,12,7,45,19
Clobetasol Propionate 0.05% Ointment,51,29,35,10,22,21,48,13
Sterile Diluent for Flolan,51,15,43,0,6,1,24,15
Pentamidine Inhalation,51,12,24,0,9,16,31,18
Ethambutol HCl,51,8,20,5,5,7,29,26
Heparin Flush Hickman (100 units/ml),50,21,53,5,3,3,30,10
Epoprostenol Na,50,15,43,0,6,1,24,14
Polysaccharide Iron Complex,50,10,113,47,10,2,134,14
Nicotine,50,0,55,70,30,30,157,52
Topiramate (Topamax),49,52,110,11,60,33,141,35
Mesalamine DR,49,30,80,23,26,29,95,15
Budesonide,49,14,20,5,11,14,46,24
Triamterene-Hydrochlorothiazide,48,28,48,22,39,8,237,17
Cinacalcet,47,257,193,25,17,12,24,32
quiniDINE Gluconate E.R.,47,46,36,2,8,0,40,11
Clozapine,47,30,154,20,96,2,94,106
Efavirenz,47,29,29,17,28,30,46,18
Viokase-8,47,23,47,15,7,10,46,16
Vitamin A,47,23,33,12,9,8,46,24
*NF* Ertapenem Sodium,47,20,44,5,13,9,50,11
PlasmaLyte,47,20,21,4,2,41,35,3
Multivitamin-12,47,6,16,7,7,25,31,17
Hepatitis B Immune Globulin (Nabi-HB),47,1,38,11,3,116,30,0
Sildenafil Citrate,46,34,33,2,18,16,28,22
Chlorthalidone,46,28,57,12,14,2,59,8
Docusate,46,18,38,4,16,30,63,23
Ketoconazole 2% ,46,17,50,7,11,22,46,19
Sumatriptan Succinate,46,6,56,2,55,13,55,14
Syringe (Neonatal) *D5W*,46,3,0,0,0,0,74,81
Nicardipine HCl IV,45,0,43,13,18,0,152,21
Caspofungin Acetate,45,0,2,11,0,5,0,11
Norepinephrine Bitartrate,44,19,29,39,2,1,27,6
Perphenazine,44,17,42,15,9,10,47,15
Penicillin G K Desensitization,43,43,28,0,35,15,47,22
Desmopressin Nasal,43,19,63,11,18,7,55,20
Bacitracin/Polymyxin B Sulfate Opht. Oint,43,15,21,8,8,11,47,15
Triamcinolone Acetonide 0.1% Ointment,43,13,31,9,6,17,34,17
Pioglitazone,42,39,174,12,12,4,98,11
Atropine Sulfate Ophth 1%,42,30,51,11,6,9,32,19
Lumigan,42,22,61,19,4,1,74,16
Prednisolone Acetate 1% Ophth. Susp.,42,14,88,35,4,11,42,18
NS (Syringe),42,14,46,8,2,8,24,17
Bacitracin,42,4,3,1,0,0,11,4
Polymyxin B Sulfate,42,2,0,0,0,0,11,4
Clonidine TTS 3 Patch,41,53,112,19,8,3,47,18
Vitamin E,41,41,69,12,13,9,88,24
Emtricitabine,41,25,15,5,8,16,7,23
Hepatitis B Immu Glob (HepaGam B),41,22,34,0,10,90,24,0
Eucerin,41,6,29,8,3,12,17,9
Mannitol,41,2,42,16,2,8,150,43
LeVETiracetam Oral Solution,40,36,64,13,14,12,94,46
sodium bicarb,40,15,29,8,2,8,25,9
Sulfamethoxazole-Trimethoprim,40,15,18,4,7,10,28,18
Glipizide XL,40,6,125,45,1,2,86,12
Methylprednisolone,39,50,82,9,27,6,75,19
Levalbuterol HCl,39,27,30,6,21,0,41,22
Creon 10,39,24,57,14,8,18,32,7
Darunavir,39,19,23,2,11,22,25,17
Ritonavir,39,15,39,11,7,16,22,25
Sodium Fluoride (Dental Gel),39,10,10,3,2,1,19,4
Posaconazole Suspension,39,9,9,0,9,0,22,28
Cinacalcet HCl,38,211,220,12,12,10,9,23
Ropinirole HCl,38,34,32,18,9,9,50,22
Estrogens Conjugated,38,25,57,11,26,14,85,20
Zidovudine,38,24,24,2,7,22,7,25
Avapro,37,29,70,10,12,4,87,1
Advair Diskus,37,28,74,20,85,8,84,31
PrimiDONE,37,27,40,9,7,1,59,13
Hydrocortisone Acetate Ointment 1%,37,25,28,11,9,22,53,13
Theophylline SR,37,20,42,14,47,2,51,20
Risperidone (Disintegrating Tablet),37,13,21,4,5,24,26,26
PENTObarbital Sodium,37,7,17,11,14,1,33,20
Tromethamine,37,5,22,8,5,8,14,7
VinCRIStine (Oncovin),37,5,11,3,7,5,22,19
Lyrica,36,37,71,5,17,8,40,11
Haemophilus B Conj. Vaccine,36,20,33,2,15,43,60,21
Tolvaptan,36,11,20,0,3,53,17,11
Bupivacaine 0.50%,36,3,37,21,25,4,87,28
Iron Polysaccharides Complex,35,35,62,18,5,7,27,13
Myfortic,35,30,34,3,0,6,13,7
Isoniazid,35,22,34,5,8,9,37,20
Beclomethasone Dipro. AQ (Nasal),35,6,63,25,36,10,56,21
sodium,35,4,16,4,0,5,12,9
Nafcillin Desensitization,34,27,54,8,14,8,53,0
Bortezomib,34,16,1,0,4,1,7,23
Dextromethorphan Poly Complex,34,13,27,13,10,6,30,13
Dobutamine HCl,34,11,7,21,1,0,5,3
Amino Acids 4.25%-Dextrose 5%,34,8,19,3,6,8,36,14
*NF* Micafungin,34,5,7,0,0,15,22,5
Methotrexate Sodium P.F.,34,3,7,2,2,1,19,17
Syringe (Neonatal) *D10W*,34,0,0,0,0,0,11,13
Dabigatran Etexilate,33,34,47,11,24,2,65,7
NS Epidural Bag,33,27,71,2,48,4,156,24
Divalproex (EXTended Release),33,23,54,4,12,8,42,16
Ziprasidone,33,21,55,6,20,5,26,21
Bengay,33,18,24,3,8,9,32,12
Acyclovir Ointment 5%,33,15,16,9,10,5,35,16
Entecavir,33,14,19,1,1,53,9,0
Hydrocortisone Cream 0.5%,33,12,20,14,14,11,53,16
D5 1/4NS,33,10,21,2,3,13,34,10
Saliva Substitute,33,8,14,4,1,6,18,10
sodium bicar,33,5,15,6,0,1,17,3
CARBOplatin,33,5,8,0,1,2,41,34
Citric Acid/Sodium Citrate,33,2,19,7,0,10,15,3
Muromonab-CD3,33,2,2,9,0,18,9,0
Fluphenazine,32,71,43,6,20,1,44,19
Abciximab,32,28,45,51,0,0,14,6
Maalox/Lidocaine,32,26,30,13,2,9,36,11
Lactic Acid 12% Lotion,32,24,37,9,4,4,24,14
Nitrofurantoin (Macrodantin),32,23,65,15,25,3,76,10
Miconazole Nitrate Vag Cream 2%,32,22,47,11,22,9,54,19
Viokase 8,32,15,39,5,5,3,33,14
Normocarb Dialysis Soln,32,10,3,24,0,3,3,8
Moexipril HCl,32,9,62,31,19,3,118,15
Epinephrine HCl,32,4,15,15,0,1,22,9
*NF* Basiliximab,32,2,23,7,3,121,29,9
Salmeterol,32,1,27,13,37,2,46,32
Vitamin B Complex,31,55,64,6,7,17,37,23
Lidocaine-Prilocaine,31,30,46,4,12,3,24,12
Provigil,31,23,44,6,2,3,33,11
Alteplase 1mg/Flush Volume ( Dialysis/Pheresis Catheters ),31,23,22,3,7,9,7,5
AcetaZOLAMIDE,31,11,51,10,7,10,51,11
Docusate ,31,9,22,9,9,18,58,15
Milrinone Lactate,31,5,20,17,0,0,14,8
Dicloxacillin,31,4,36,19,7,4,35,8
Insulin Pump,30,28,158,24,10,3,38,7
Heparin Flush Port (10 units/mL),30,28,32,4,16,1,54,27
Tobramycin Inhalation Soln,30,20,37,5,9,5,40,9
Beclomethasone Dipropionate,30,17,34,14,30,2,41,11
Hydrocortisone Study Drug (*IND*),30,14,28,12,5,2,27,7
Repaglinide,30,13,98,14,4,12,50,8
Hydrochloric Acid,30,12,12,4,8,74,23,13
Lidocaine 1% P.F.,30,6,17,2,7,3,28,8
Pentamidine Isethionate,30,5,4,2,6,4,11,10
Tocopheryl,30,4,54,26,3,2,68,10
Oxycodone Liquid,30,3,22,11,2,4,30,9
Dopamine HCl,30,3,7,14,0,0,2,9
Busulfan,30,3,1,1,0,0,6,3
ACD-A for CRRT,29,22,25,5,0,6,11,2
Pangestyme-EC,29,17,57,3,13,17,41,5
Sterile Water For Irrigation,29,12,23,7,2,7,8,5
*NF* Rasburicase,29,8,6,4,2,0,7,6
Methotrexate,29,5,18,18,6,0,51,13
NS (Excel),29,4,6,5,1,0,19,12
Syringe (PCA),29,3,15,2,13,7,75,40
Pyrimethamine,29,3,6,0,7,0,14,7
GELCLAIR,29,2,6,0,0,1,28,9
MENINGOcoccal Conj Vaccine (Menactra),28,18,24,1,10,39,45,13
Fluocinonide 0.05% Cream,28,16,24,8,3,12,23,7
Amantadine,28,9,30,8,16,3,53,9
Procainamide,28,6,21,3,5,4,31,5
Fat Emulsion 10%,28,1,1,0,0,5,5,3
5 Syringes (NS),27,43,31,4,2,21,5,6
pramipexole,27,27,36,2,7,8,46,8
Pramipexole,27,24,34,9,3,0,27,4
Lamotrigine,27,20,42,15,14,9,58,20
Carbidopa-Levodopa (25-250),27,20,22,9,6,5,43,5
Lantus,27,18,146,9,3,11,40,10
sodium bic,27,11,17,2,0,3,14,8
1/4 NS,27,6,16,3,1,4,7,10
Vigamox,27,5,12,2,5,10,29,3
Sodium Citrate/Citric Acid,27,2,28,1,0,7,8,3
Sod Citrate-Citric Acid,27,0,0,1,1,7,4,8
Vitamin B Complex w/C,26,60,83,13,15,16,25,9
Vancomycin Antibiotic Lock,26,20,25,12,0,1,18,11
Bacitracin-Polymyxin Ointment,26,15,29,7,7,10,23,16
Memantine,26,15,23,3,1,2,29,15
Flecainide Acetate,26,15,15,6,8,3,80,14
Silver Nitrate Applicator,26,12,22,8,4,13,15,7
Miconazole Nitrate (Combo Pack),26,10,35,9,11,13,35,9
DiCLOXacillin,26,9,31,6,5,13,30,8
Phentolamine Mesylate,26,7,15,8,3,3,22,19
Propafenone HCl,25,25,22,3,6,1,64,15
Prazosin,25,22,43,4,8,0,28,7
ValACYclovir,25,15,21,7,6,9,40,14
Zofran,25,13,46,6,2,0,40,15
LeVETiracetam Solution,25,11,26,4,8,13,37,14
Carbidopa-Levodopa CR (50-200),25,11,19,9,2,0,37,6
Dextran 40 10%,25,6,18,10,0,1,31,4
Prazosin HCl,25,5,35,4,5,2,30,14
Meclizine HCl,25,4,24,15,12,2,36,9
Sodium Acetate,25,4,6,7,2,0,30,17
Tamoxifen Citrate,25,1,21,4,8,3,43,3
Syringe (Sterile Water),24,23,25,3,10,11,15,9
Nitrofurantoin Monohyd (MacroBID),24,21,43,5,25,9,61,7
Disopyramide Phosphate,24,20,29,7,3,0,35,8
Hydrocortisone Cream 2.5%,24,13,22,11,8,8,28,12
Orabase w/ Benzocaine Paste,24,13,14,7,6,12,16,10
SulfaSALAzine_,24,9,55,2,12,1,38,5
Potassium Chl 20 mEq / 1000 mL D5LR,24,9,44,3,6,5,79,15
Probenecid,24,9,27,7,4,6,49,6
Multiple Vitamins Liq.,24,8,13,3,1,8,21,8
Talc (Sterile),24,7,12,2,5,3,22,16
Droperidol,24,5,27,12,22,4,26,7
Cefepime Desensitization,24,1,24,0,16,0,16,0
Parenteral Nutrition (TPN),24,0,2,1,2,0,1,6
Aldesleukin,24,0,2,1,0,0,15,3
Insulin Pump (Self Administering Medication),23,23,91,0,20,5,15,15
Niacin,23,19,66,20,16,13,66,15
Acetaminophen w/Codeine Elixir,23,16,24,9,6,1,39,19
Primaquine Phosphate,23,11,9,4,8,7,10,16
Albuterol Sulfate,23,8,16,0,28,5,40,20
Quetiapine extended-release,23,7,40,1,9,15,29,3
Heparin Flush,23,5,9,5,2,0,21,13
D25W,23,4,7,5,0,2,15,3
Fosphenytoin Sodium,23,3,16,11,0,7,49,18
TRISODIUM CITRATE 4% REPLACEMENT FLUID (Dialysis),23,2,3,2,0,0,0,1
Heparin (Hemodialysis),22,168,142,6,11,27,7,14
Isoproterenol,22,21,19,5,1,2,30,5
fenofibrate,22,15,59,1,4,1,36,3
Prasugrel,22,15,46,93,6,0,79,2
Terbinafine 1% Cream,22,13,27,2,7,16,21,7
Iron Dextran Complex,22,12,15,5,4,4,27,13
Triamcinolone Acetonide 0.025% Cream,22,11,24,3,3,5,23,10
Arimidex,22,8,32,0,5,1,39,9
Modafinil,22,7,25,9,4,4,33,10
ALPRAZolam,22,4,47,7,8,5,72,19
NS        (Glass Bottle),22,3,24,19,7,3,74,23
Ribavirin,22,3,21,0,0,10,18,3
Opium Deodorized Tinc.,22,2,15,3,0,0,10,13
CVVH Citrated,22,2,0,5,0,2,0,1
Ranolazine,21,22,28,15,2,1,12,3
Theophylline (Oral Solution),21,17,28,5,29,0,32,12
Imatinib Mesylate,21,17,7,0,0,4,9,2
Multi,21,13,22,8,5,12,23,13
Dantrolene Sodium,21,12,2,1,0,0,28,10
Pseudoephedrine HCl,21,9,27,2,15,2,39,14
Hepatitis B Vaccine,21,8,10,4,2,26,8,5
LaMIVudine-Zidovudine (Combivir),21,7,20,11,15,12,25,6
Bisoprolol Fumarate,21,6,9,0,1,3,18,2
Miconazole Nitrate Vaginal,21,5,21,13,4,11,29,11
Erythromycin Lactobionate,21,3,11,5,0,19,16,11
Loxapine Succinate,21,0,1,0,0,0,9,15
Paricalcitol,20,225,169,26,28,10,5,28
Ampicillin Desensitization,20,28,21,6,7,0,27,14
